Any,Any
"Same as","Same as"
More,More
Less,Less
"Viewed together","Viewed together"
"Bought together","Bought together"
"Display Manually Added Products Only","Display Manually Added Products Only"
"Replace Manually Added Products","Replace Manually Added Products"
"Append to Manually Added Products","Append to Manually Added Products"
"Automatic Related Products","Automatic Related Products"
General,General
"Query Limit","Query Limit"
"Limit of records in query for period.","Limit of records in query for period."
Up-Sells,Up-Sells
Enabled,Enabled
"Maximum Products Count","Maximum Products Count"
"Manually Added Products","Manually Added Products"
"Show In Stock Products Only","Show In Stock Products Only"
"Data gathered period (days)","Data gathered period (days)"
"Data Source","Data Source"
"Order Status","Order Status"
Conditions,Conditions
"Category Condition","Category Condition"
"Brand Condition","Brand Condition"
"Brand Attribute","Brand Attribute"
"Price Condition","Price Condition"
Cross-Sells,Cross-Sells
"Related Products","Related Products"
