"General","General"
"Drop-down Option Image Height","Drop-down Option Image Height"
"Drop-down Option Image Width","Drop-down Option Image Width"
"Radio Option Image Height","Radio Option Image Height"
"Radio Option Image Width","Radio Option Image Width"
"Checkbox Option Image Height","Checkbox Option Image Height"
"Checkbox Option Image Width","Checkbox Option Image Width"
"Multiple Option Image Height","Multiple Option Image Height"
"Multiple Option Image Width","Multiple Option Image Width"
"Image size settings","Image size settings"
"Upload","Upload"
"Image","Image"
"Please select valid file type. The supported file types are .jpg , .png , .bmp","Please select valid file type. The supported file types are .jpg , .png , .bmp"
